id,year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,youtube_url
ajj,1977,be,Belgium,Dream Express,"A Million In One, Two, Three",7.0,,17.0,,7.0,69.0,,,,,,,Luc Smets,,https://youtube.com/watch?v=LVtX7_c6-Og
ajk,1977,de,Germany,Silver Convention,Telegram,8.0,,6.0,,8.0,55.0,,,,,,,Sylvester Levai,Michael Kunze,https://youtube.com/watch?v=kNpW9WqbCiY
ajl,1977,es,Spain,Micky,Enseñame A Cantar,9.0,,14.0,,9.0,52.0,,,,,,,Fernando Arbex,,https://youtube.com/watch?v=zUrCoTzeEi0
ajm,1977,fi,Finland,Monica Aspelund,Lapponia,10.0,,16.0,,10.0,50.0,,,,,,,Aarno Raninen,Monica Aspelund,https://youtube.com/watch?v=1rbM-gXnbCY
ajn,1977,il,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,11.0,,11.0,,11.0,49.0,,,,,,,Eldad Shrem,Edna Peleg,https://youtube.com/watch?v=8An6k975YQM
ajo,1977,nl,Netherlands,Heddy Lester,De Mallemolen,12.0,,3.0,,12.0,35.0,,,,,,,Frank Affolter,Wim Hogenkamp,https://youtube.com/watch?v=VJ40q6sR1R0
ajp,1977,it,Italy,Mia Martini,Liberà,13.0,,15.0,,13.0,33.0,,,,,,,Salvatore Fabrizio,Luigi Albertelli,https://youtube.com/watch?v=EtGF5N6W7Ik
ajq,1977,no,Norway,Anita Skorgan,Casanova,14.0,,5.0,,14.0,18.0,,,,,,,Svein Strugstad,Dag Nordtømme,https://youtube.com/watch?v=x8QNTw668l8
ajr,1977,pt,Portugal,Os Amigos,Portugal No Coração,14.0,,8.0,,14.0,18.0,,,,,,,Fernando Tordo,José Carlos Ary dos Santos,https://youtube.com/watch?v=ykMUq8uVykY
ajs,1977,lu,Luxembourg,Anne Marie B.,Frère Jacques,16.0,,7.0,,16.0,17.0,,,,,,,Guy Béart;Pierre Cour,,https://youtube.com/watch?v=pE40LPTonyE
ajt,1977,at,Austria,Schmetterlinge,Boom Boom Boomerang,17.0,,4.0,,17.0,11.0,,,,,,,Dr. Kurt Ostbahn;Georg 'Schurli' Herrnstadt;Herbert Zöchling-Tampier,E. Lukas Resetarits,https://youtube.com/watch?v=MKEYWa3VoHU
aju,1977,se,Sweden,Forbes,Beatles,18.0,,13.0,,18.0,2.0,,,,,,,Claes Bure,Sven-Olof Bagge,https://youtube.com/watch?v=OrFg4nyBeAE
ajv,1978,il,Israel,Izhar Cohen and the Alphabeta,A-Ba-Ni-Bi,1.0,,18.0,,1.0,157.0,,,,,,,Nurit Hirsh,Ehud Manor,https://youtube.com/watch?v=QvZS6tnZKMU
ajw,1978,be,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,2.0,,10.0,,2.0,125.0,,,,,,,Jean Vallée,,https://youtube.com/watch?v=N4hjjhCmTvI
ajx,1978,fr,France,Joël Prévost,Il Y Aura Toujours Des Violons,3.0,,6.0,,3.0,119.0,,,,,,,Gérard Stern,Didier Barbelivien,https://youtube.com/watch?v=QKoU6MzFPVQ
ajy,1978,mc,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,4.0,,14.0,,4.0,107.0,,,,,,,Olivier Toussaint;Paul de Senneville,Didier Barbelivien;Jean Albertini,https://youtube.com/watch?v=bUgJ2xCyqYc
ajz,1978,ie,Ireland,Colm T. Wilkinson,Born To Sing,5.0,,1.0,,5.0,86.0,,,,,,,Colm C. T. Wilkinson,,https://youtube.com/watch?v=1030WPAfAiM
aj0,1978,de,Germany,Ireen Sheer,Feuer,6.0,,13.0,,6.0,84.0,,,,,,,Jean Frankfurter,John Möring,https://youtube.com/watch?v=WEZjOeBLu_Q
aj1,1978,lu,Luxembourg,Baccara,Parlez-vous Français?,7.0,,17.0,,7.0,73.0,,,,,,,Rolf Soja,Frank Dostal;Péter Zentner,https://youtube.com/watch?v=71HdQw0-tZk
aj2,1978,gr,Greece,Tania Tsanaklidou,Charlie Chaplin,8.0,,15.0,,8.0,66.0,,,,,,,Sakis Tsilikis,Yannis Xanthulis,https://youtube.com/watch?v=iQAUlN2Cgps
aj3,1978,es,Spain,José Vélez,Bailemos Un Vals,9.0,,7.0,,9.0,65.0,,,,,,,Manuel de la Calva;Ramón Arcusa,,https://youtube.com/watch?v=-NC7WTTgwxM
aj4,1978,ch,Switzerland,Carole Vinci,Vivre,9.0,,9.0,,9.0,65.0,,,,,,,Alain Morisod,Pierre Alain,https://youtube.com/watch?v=do85uApIf38
aj5,1978,gb,United Kingdom,Co-Co,The Bad Old Days,11.0,,8.0,,11.0,61.0,,,,,,,Stephanie de Sykes;Stuart Slater,,https://youtube.com/watch?v=a_couVU0Vr4
aj6,1978,it,Italy,Ricchi e Poveri,Questo Amore,12.0,,3.0,,12.0,53.0,,,,,,,Dario Farina;Mauro Lusini,Sergio Bardotti,https://youtube.com/watch?v=96JYOhhVW2A
aj7,1978,nl,Netherlands,Harmony,t Is Ok,13.0,,11.0,,13.0,37.0,,,,,,,Eddy Ouwens,Dick Kooiman;Toon Gispen,https://youtube.com/watch?v=pbmjQo8avVU
aj8,1978,se,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,14.0,,20.0,,14.0,26.0,,,,,,,Peter Himmelstrand,,https://youtube.com/watch?v=71t1Uu19KX4
aj9,1978,at,Austria,Springtime,Mrs. Caroline Robinson,15.0,,19.0,,15.0,14.0,,,,,,,Gerhard Markel;Walter Markel,Gerhard Markel;Norbert Niedermayer;Walter Markel,https://youtube.com/watch?v=vo3NxHycwqU
aka,1978,dk,Denmark,Mabel,Boom Boom,16.0,,16.0,,16.0,13.0,,,,,,,Andy Kulmbak;Christian Have;Michael Trempenau;Peter Nielsen,,https://youtube.com/watch?v=IilXVjX19Js
akb,1978,pt,Portugal,Gemini,Dai-li-dou,17.0,,5.0,,17.0,5.0,,,,,,,Vítor Mamede,Carlos Quintas,https://youtube.com/watch?v=4ompEYQVRYc
akc,1978,fi,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,18.0,,4.0,,18.0,2.0,,,,,,,Reijo Karvonen,Reijo Karvonen;Seija Simola,https://youtube.com/watch?v=LGCSJVUN3h4
akd,1978,tr,Turkey,Nazar,Sevince,18.0,,12.0,,18.0,2.0,,,,,,,Dağhan Baydur;Onno Tunç,Hulki Aktunç,https://youtube.com/watch?v=JD1yShQZHq4
ake,1978,no,Norway,Jahn Teigen,Mil Etter Mil,20.0,,2.0,,20.0,0.0,,,,,,,Kai Eide,,https://youtube.com/watch?v=dVj8tlXQ1Vg
akf,1979,il,Israel,Milk and Honey,Hallelujah,1.0,,10.0,,1.0,125.0,,,,,,,Kobi Oshrat,Shimrit Orr,https://youtube.com/watch?v=C33kO3fvjkI
akg,1979,es,Spain,Betty Missiego,Su Canción,2.0,,19.0,,2.0,116.0,,,,,,,Fernando Moreno,,https://youtube.com/watch?v=2LbhAIsXqt8
akh,1979,fr,France,Anne-Marie David,Je Suis L'enfant-soleil,3.0,,11.0,,3.0,106.0,,,,,,,Eddy Marnay,Hubert Giraud,https://youtube.com/watch?v=7rGavYdklEQ
aki,1979,de,Germany,Dschinghis Khan,,4.0,,9.0,,4.0,86.0,,,,,,,Ralph Siegel,Gunter Johansen,https://youtube.com/watch?v=eAEUrp2V4ss
akj,1979,ie,Ireland,Cathal Dunne,Happy Man,5.0,,4.0,,5.0,80.0,,,,,,,Cathal Dunne,,https://youtube.com/watch?v=f-z_gZFRptI
akk,1979,dk,Denmark,Tommy Seebach,Disco Tango,6.0,,3.0,,6.0,76.0,,,,,,,Tommy Seebach,Keld Heick,https://youtube.com/watch?v=XZ44_wBTHWU
akl,1979,gb,United Kingdom,Black Lace,Mary Ann,7.0,,17.0,,7.0,73.0,,,,,,,Peter Morris,,https://youtube.com/watch?v=IHlmtWpFMd8
akm,1979,gr,Greece,Elpida,Socrati,8.0,,7.0,,8.0,69.0,,,,,,,Doros Georgiadis,Sofia Tsotu,https://youtube.com/watch?v=8Gm99Dvvg8w
akn,1979,pt,Portugal,Manuela Bravo,"Sobe, Sobe, Balão Sobe",9.0,,1.0,,9.0,64.0,,,,,,,Carlos Nóbrega e Sousa,,https://youtube.com/watch?v=XXgnmLDrPa0
ako,1979,ch,Switzerland,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.,10.0,,8.0,,10.0,60.0,,,,,,,Peter Reber,,https://youtube.com/watch?v=-dbzbx6EEoc
akp,1979,no,Norway,Anita Skorgan,Oliver,11.0,,16.0,,11.0,57.0,,,,,,,Anita Skorgan,Philip A. Kruse,https://youtube.com/watch?v=dz-BbMIm8JY
akq,1979,nl,Netherlands,Xandra,Colorado,12.0,,14.0,,12.0,51.0,,,,,,,Rob Bolland,Ferdi Bolland;Gerard Cox,https://youtube.com/watch?v=R4K3sp4IO1Q
akr,1979,lu,Luxembourg,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux,13.0,,13.0,,13.0,44.0,,,,,,,Jean Renard,,https://youtube.com/watch?v=mznCPsr9oCs
aks,1979,fi,Finland,Katri-Helena,Katson Sineen Taivaan,14.0,,5.0,,14.0,38.0,,,,,,,Matti Kalevi Siitonen,Veikko 'Vexi' Salmi,https://youtube.com/watch?v=AdB6fdht-F8
akt,1979,it,Italy,Matia Bazar,Raggio Di Luna,15.0,,2.0,,15.0,27.0,,,,,,,Antonella Ruggiero;Carlo Marrale;Piero Cassano,Giancarlo Golzi;Salvatore Stellita,https://youtube.com/watch?v=TmZjRDy5-ds
aku,1979,mc,Monaco,Laurent Vaguener,"Notre Vie, C'est La Musique",16.0,,6.0,,16.0,12.0,,,,,,,Jean Baudlot;Paul de Senneville,Didier Barbelivien;Jean Albertini,https://youtube.com/watch?v=53OdfcR1eVo
akv,1979,se,Sweden,Ted Gärdestad,Satellit,17.0,,15.0,,17.0,8.0,,,,,,,Ted Gärdestad,Kenneth Gärdestad,https://youtube.com/watch?v=fLASqYItYZ4
akw,1979,be,Belgium,Micha Marah,Hey Nana,18.0,,12.0,,18.0,5.0,,,,,,,Charles Dumolin,Guy Beyers,https://youtube.com/watch?v=kHKjdkduPNI
akx,1979,at,Austria,Christina Simon,Heute In Jerusalem,18.0,,18.0,,18.0,5.0,,,,,,,Peter Wolf,André Heller,https://youtube.com/watch?v=X3w26dtqpZY
aky,1980,ie,Ireland,Johnny Logan,What's Another Year,1.0,,17.0,,1.0,143.0,,,,,,,Shay Healy,,https://youtube.com/watch?v=BPOwTXWe-Yw
akz,1980,de,Germany,Katja Ebstein,Theater,2.0,,12.0,,2.0,128.0,,,,,,,Ralph Siegel,Gunter Johansen,https://youtube.com/watch?v=bGEo2fpiu0Q
ak0,1980,gb,United Kingdom,Prima Donna,Love Enough For Two,3.0,,13.0,,3.0,106.0,,,,,,,Stephanie de Sykes;Stuart Slater,,https://youtube.com/watch?v=W8fUTTwOp40
ak1,1980,ch,Switzerland,Paola,Cinéma,4.0,,9.0,,4.0,104.0,,,,,,,Peter Reber,Peter Reber;Véronique Müller,https://youtube.com/watch?v=0-RmnRXA8kU
ak2,1980,nl,Netherlands,Maggie MacNeal,Amsterdam,5.0,,15.0,,5.0,93.0,,,,,,,Frans Smit;Sjoukje Smit-van 't Spijker;Robert Verwey,Alex Alberts,https://youtube.com/watch?v=HmgXSnfeudM
ak3,1980,it,Italy,Alan Sorrenti,Non So Che Darei,6.0,,6.0,,6.0,87.0,,,,,,,Alan Sorrenti,,https://youtube.com/watch?v=bioGdbbqHnY
ak4,1980,pt,Portugal,José Cid,"Um Grande, Grande Amor",7.0,,14.0,,7.0,71.0,,,,,,,José Cid,,https://youtube.com/watch?v=lU8v8kFJSEw
ak5,1980,at,Austria,Blue Danube,Du Bist Musik,8.0,,1.0,,8.0,64.0,,,,,,,Klaus Peter Sattler,,https://youtube.com/watch?v=1AqK5IrhPys
ak6,1980,lu,Luxembourg,Sophie and Magaly,Papa Pingouin,9.0,,4.0,,9.0,56.0,,,,,,,Gunter Johansen;Ralph Siegel,Jean-Paul Cara;Pierre Delanoë,https://youtube.com/watch?v=LTECukPlnuk
ak7,1980,se,Sweden,Tomas Ledin,Just Nu!,10.0,,8.0,,10.0,47.0,,,,,,,Tomas Ledin,,https://youtube.com/watch?v=ELz4zAnvJf0
ak8,1980,fr,France,Profil,"Hé, Hé M'sieurs Dames",11.0,,16.0,,11.0,45.0,,,,,,,Sylvano Santorio,Richard de Bordeaux;Richard Joffo,https://youtube.com/watch?v=nbgrod4UhMg
ak9,1980,es,Spain,Trigo Limpio,Quédate Esta Noche,12.0,,18.0,,12.0,38.0,,,,,,,José Antonio Martin,,https://youtube.com/watch?v=SjfcjhM-DRg
ala,1980,gr,Greece,Anna Vissi and the Epikouri,Otostop,13.0,,3.0,,13.0,30.0,,,,,,,Jick Nacassian,Rony Sofu,https://youtube.com/watch?v=eNJ1CtYhScs
alb,1980,dk,Denmark,Bamses Venner,Tænker Altid På Dig,14.0,,7.0,,14.0,25.0,,,,,,,Bjarne Gren Jensen,Flemming Bamse Jørgensen,https://youtube.com/watch?v=ZKLyYj5-Yz0
alc,1980,tr,Turkey,Ajda Pekkan,Petr'oil,15.0,,2.0,,15.0,23.0,,,,,,,Atilla Özdemiroğlu,Şanar Yurdatapan,https://youtube.com/watch?v=ndjiEFlIeW4
ald,1980,no,Norway,Sverre Kjellsberg & Mattis Hætta,Sámiid Ædnan,16.0,,11.0,,16.0,15.0,,,,,,,Sverre Kjelsberg,Ragnar Olsen,https://youtube.com/watch?v=AyMdsQOT8vI
ale,1980,be,Belgium,Telex,Euro-vision,17.0,,19.0,,17.0,14.0,,,,,,,Dan Lacksman;Marc Moulin;Michel Moers,,https://youtube.com/watch?v=6USa0zUMmqI
alf,1980,ma,Morocco,Samira Bensaïd,Bitakat Hob,18.0,,5.0,,18.0,7.0,,,,,,,Abd Al-'Atī Amyna,Malw Rawan,https://youtube.com/watch?v=x3e26zZSEws
alg,1980,fi,Finland,Vesa-Matti Loiri,Huilumies,19.0,,10.0,,19.0,6.0,,,,,,,Aarno Raninen,Veikko 'Vexi' Salmi,https://youtube.com/watch?v=MaBhx84GA8g
alh,1981,gb,United Kingdom,Bucks Fizz,Making Your Mind Up,1.0,,14.0,,1.0,136.0,,,,,,,John Danter,Andy Hill,https://youtube.com/watch?v=62SrA5hCmkE
ali,1981,de,Germany,Lena Valaitis,Johnny Blue,2.0,,3.0,,2.0,132.0,,,,,,,Ralph Siegel,Gunter Johansen,https://youtube.com/watch?v=lxONpx3cQ5c
alj,1981,fr,France,Jean Gabilou,Humanahum,3.0,,9.0,,3.0,125.0,,,,,,,Jean-Paul Cara,Joe Gracy,https://youtube.com/watch?v=Lovx3Vpln48
alk,1981,ch,Switzerland,"Peter, Sue and Marc",Io Senza Tei,4.0,,19.0,,4.0,121.0,,,,,,,Peter Reber,Nella Martinetti;Peter Reber,https://youtube.com/watch?v=6l_BknJkjqY
all,1981,ie,Ireland,Sheeba,Horoscopes,5.0,,12.0,,5.0,105.0,,,,,,,Jim Kelly,Joe Burkett,https://youtube.com/watch?v=LF7V0SBPc4I
alm,1981,cy,Cyprus,Island,Monika,6.0,,18.0,,6.0,69.0,,,,,,,Doros Georgiadis,Stavros Sideras,https://youtube.com/watch?v=eRllseL7xm4
aln,1981,il,Israel,Habibi,Halaylah,7.0,,5.0,,7.0,56.0,,,,,,,Shuki Levy,Shlomit Aharon;Yuval Dor,https://youtube.com/watch?v=AzbH4MLhqQE
alo,1981,gr,Greece,Yiannis Dimitras,Feggari Kalokerino,8.0,,17.0,,8.0,55.0,,,,,,,Giorgos Niachros,Yiannis Dimitras,https://youtube.com/watch?v=MGR2y-3AgYQ
alp,1981,nl,Netherlands,Linda Williams,Het Is Een Wonder,9.0,,11.0,,9.0,51.0,,,,,,,Cees de Wit,Bart van de Laar,https://youtube.com/watch?v=x7olEEGIWq8
alq,1981,se,Sweden,Björn Skifs,Fångad I En Dröm,10.0,,20.0,,10.0,50.0,,,,,,,Bengt Palmers;Björn Skifs,,https://youtube.com/watch?v=a05rWLlRNJs
alr,1981,lu,Luxembourg,Jean-Claude Pascal,C'est Peut-être Pas L'Amérique,11.0,,4.0,,11.0,41.0,,,,,,,Jean-Claude Pascal;Jean-Claude Petit;Sophie Makhno,,https://youtube.com/watch?v=ovqQFisIEao
als,1981,dk,Denmark,Debbie Cameron and Tommy Seebach,Krøller Eller Ej,11.0,,6.0,,11.0,41.0,,,,,,,Tommy Seebach,Keld Heick,https://youtube.com/watch?v=DKTOyzyDiEs
alt,1981,be,Belgium,Emly Starr,Samson,13.0,,16.0,,13.0,40.0,,,,,,,Giuseppe Marchese;Kick Dandy,Kick Dandy;Penny Els,https://youtube.com/watch?v=MvFopyAvNLw
alu,1981,es,Spain,Bacchelli,Y Solo Tú,14.0,,10.0,,14.0,38.0,,,,,,,Amado Jaen,,https://youtube.com/watch?v=tttAJ6jzTfA
alv,1981,yu,Yugoslavia,Seid-Memic Vajta,Leila,15.0,,7.0,,15.0,35.0,,,,,,,Ranko Boban,,https://youtube.com/watch?v=fWV5yZD7U8c
alw,1981,fi,Finland,Riki Sorsa,Reggae O.k.,16.0,,8.0,,16.0,27.0,,,,,,,Jim Pembroke,Olli Ojala,https://youtube.com/watch?v=mwSIRpTXHgM
alx,1981,at,Austria,Marty Brem,Wenn Du Da Bist,17.0,,1.0,,17.0,20.0,,,,,,,Werner Böhmler,,https://youtube.com/watch?v=g0u0grvgpYg
aly,1981,tr,Turkey,Modern Folk Trio and Aysegül,Dönme Dolap,18.0,,2.0,,18.0,9.0,,,,,,,Ali Kocatepe,,https://youtube.com/watch?v=SICfYe7bTLU
alz,1981,pt,Portugal,Carlos Paião,Play-back,18.0,,15.0,,18.0,9.0,,,,,,,Carlos Paião,,https://youtube.com/watch?v=GhXf9ZO06U0
al0,1981,no,Norway,Finn Kalvik,Aldri i Livet,20.0,,13.0,,20.0,0.0,,,,,,,Finn Kalvik,,https://youtube.com/watch?v=HnTmqt9rmDw
al1,1982,de,Germany,Nicole,Ein Bißchen Frieden,1.0,,18.0,,1.0,161.0,,,,,,,Ralph Siegel,Gunter Johansen,https://youtube.com/watch?v=CJDxnWFqpiA
al2,1982,il,Israel,Avi Toledano,Hora,2.0,,15.0,,2.0,100.0,,,,,,,Avi Toledano,Yoram Taharlev,https://youtube.com/watch?v=Vw46CEb8Tbg
al3,1982,ch,Switzerland,Arlette Zola,Amour On T'aime,3.0,,7.0,,3.0,97.0,,,,,,,Alain Morisod,Pierre Alain,https://youtube.com/watch?v=JQDbQcJLaVE
al4,1982,be,Belgium,Stella,Si Tu Aimes Ma Musique,4.0,,11.0,,4.0,96.0,,,,,,,Bobott;Fred Bekky;Rony Brack,Jo May,https://youtube.com/watch?v=jkYNTd3wKPY
al5,1982,cy,Cyprus,Anna Vissi,Mono I Agapi,5.0,,8.0,,5.0,85.0,,,,,,,Anna Vissi,,https://youtube.com/watch?v=S8HVS1DePZk
al6,1982,lu,Luxembourg,Svetlana,Cour Apres Le Temps,6.0,,2.0,,6.0,78.0,,,,,,,Cyril Assous,Michel Jouveaux,https://youtube.com/watch?v=vQPdRhIwx_w
al7,1982,gb,United Kingdom,Bardo,One Step Further,7.0,,4.0,,7.0,76.0,,,,,,,Simon Jefferies,,https://youtube.com/watch?v=MSAoeFYipxc
al8,1982,se,Sweden,Chips,Dag Efter Dag,8.0,,9.0,,8.0,67.0,,,,,,,Lasse Holm,Monica Forsberg,https://youtube.com/watch?v=SWrHV-r5adQ
al9,1982,at,Austria,Mess,Sonntag,9.0,,10.0,,9.0,57.0,,,,,,,Michael Mell,Rudolf Leve,https://youtube.com/watch?v=VcdgXIyWZMc
ama,1982,es,Spain,Lucía,Él,10.0,,12.0,,10.0,52.0,,,,,,,Francisco 'Paco' Cepero,Ignacio Román,https://youtube.com/watch?v=2ankrdUirC8
amb,1982,ie,Ireland,The Duskeys,"Here Today, Gone Tomorrow",11.0,,17.0,,11.0,49.0,,,,,,,Sally Keating,,https://youtube.com/watch?v=Ms_aDsasL4Y
amc,1982,no,Norway,Jahn Teigen & Anita Skorgan,Adieu,12.0,,3.0,,12.0,40.0,,,,,,,Jahn Teigen,Herodes Falsk,https://youtube.com/watch?v=0KRAmN60WiQ
amd,1982,pt,Portugal,Doce,Bem-bom,13.0,,1.0,,13.0,32.0,,,,,,,António Pinho;Pedro Brito;Tozé Brito,,https://youtube.com/watch?v=hfJQPmlcZ48
ame,1982,yu,Yugoslavia,Aska,Halo Halo,14.0,,14.0,,14.0,21.0,,,,,,,Aleksandar Ilić,Miro Zec,https://youtube.com/watch?v=uR8jtnWlN_8
amf,1982,tr,Turkey,Neço,Hani,15.0,,5.0,,15.0,20.0,,,,,,,Olcayto Ahmet Tuğsuz,Faik Tuğsuz;Olcayto Ahmet Tuğsuz,https://youtube.com/watch?v=sU67JnNuqSA
amg,1982,nl,Netherlands,Bill van Dijk,Jij En Ik,16.0,,16.0,,16.0,8.0,,,,,,,Dick Bakker,Liselore Gerritsen,https://youtube.com/watch?v=ByECf_srTQM
amh,1982,dk,Denmark,Brixx,Video-video,17.0,,13.0,,17.0,5.0,,,,,,,Jens Brixtofte,,https://youtube.com/watch?v=5SWSEKDBCGI
ami,1982,fi,Finland,Kojo,Nuku Pommiin,18.0,,6.0,,18.0,0.0,,,,,,,Jim Pembroke,Juice Leskinen,https://youtube.com/watch?v=MmpyXSXZcAA
amj,1983,lu,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,1.0,,20.0,,1.0,142.0,,,,,,,Jean-Pierre Millers,Alain Garcia,https://youtube.com/watch?v=C6uKNJ8nS3o
amk,1983,il,Israel,Ofra Haza,Hi,2.0,,16.0,,2.0,136.0,,,,,,,Avi Toledano,Ehud Manor,https://youtube.com/watch?v=oGrQ9ulN268
aml,1983,se,Sweden,Carola Häggkvist,Främling,3.0,,4.0,,3.0,126.0,,,,,,,Lasse Holm,Monica Forsberg,https://youtube.com/watch?v=d6CtvEatu-0
amm,1983,yu,Yugoslavia,Danijel,Dzuli,4.0,,12.0,,4.0,125.0,,,,,,,Milan Popović,Mario Mihaljević,https://youtube.com/watch?v=uBm1VEzrcGA
amn,1983,de,Germany,Hoffmann und Hoffmann,Rücksicht,5.0,,14.0,,5.0,94.0,,,,,,,Michael Reinecke,Volker Lechtenbrinck,https://youtube.com/watch?v=LjDCIX7aGOA
amo,1983,gb,United Kingdom,Sweet Dreams,I'm Never Giving Up,6.0,,3.0,,6.0,79.0,,,,,,,Jan Pulsford;Phil Wigger;Ron Roker,,https://youtube.com/watch?v=in5hT6P9KFA
amp,1983,nl,Netherlands,Bernadette,Sing Me A Song,7.0,,11.0,,7.0,66.0,,,,,,,Piet Souer,Martin Duiser,https://youtube.com/watch?v=MCW7GprKIj0
amq,1983,fr,France,Guy Bonnet,Vivre,8.0,,1.0,,8.0,56.0,,,,,,,Guy Bonnet,Fulbert Cant,https://youtube.com/watch?v=DyNEmXZkOD4
amr,1983,no,Norway,Jahn Teigen,Do Re Mi,9.0,,2.0,,9.0,53.0,,,,,,,Anita Skorgan;Jahn Teigen,Herodes Falsk;Jahn Teigen,https://youtube.com/watch?v=A4v7za1iLLc
ams,1983,at,Austria,Westend,Hurricane,9.0,,18.0,,9.0,53.0,,,,,,,Peter Vieweger,Heinz Nessizius;Heli Deinboek,https://youtube.com/watch?v=Ex9Im5C2NIk
amt,1983,it,Italy,Riccardo Fogli,Per Lucia,11.0,,5.0,,11.0,41.0,,,,,,,Maurizio Fabrizio,Riccardo Fogli;Vincenzo Spampinato,https://youtube.com/watch?v=TlRVHT59Tt8
amu,1983,fi,Finland,Ami Aspelund,Fantasiaa,11.0,,9.0,,11.0,41.0,,,,,,,Kari Kuusamo,Kaisu Liuhala,https://youtube.com/watch?v=tunw8-mnggI
amv,1983,pt,Portugal,Armando Gama,Esta Balada Que Te Dou,13.0,,17.0,,13.0,33.0,,,,,,,Armando Gama,,https://youtube.com/watch?v=hyhMqYd-MXw
amw,1983,gr,Greece,Christie Stassinopoulou,Mou Les,14.0,,10.0,,14.0,32.0,,,,,,,Antonis Plessas,Sofia Fildisi,https://youtube.com/watch?v=Bu2vkIBp64o
amx,1983,ch,Switzerland,Mariella Farré,Io Così Non Ci Sto,15.0,,8.0,,15.0,28.0,,,,,,,Remo Kessler;Thomas Gonzenbach,Nella Martinetti,https://youtube.com/watch?v=kKfo9bnqZyQ
amy,1983,cy,Cyprus,Stavros and Constantina,I Agapi Akoma Zi,16.0,,13.0,,16.0,26.0,,,,,,,Stavros Sideras,,https://youtube.com/watch?v=Oh0bfRWDaSc
amz,1983,dk,Denmark,Gry Johansen,Kloden Drejer,17.0,,15.0,,17.0,16.0,,,,,,,Christian Jacobsen;Flemming Gernyx;Lars Christensen,Billy Cross;Christian Jacobsen;Flemming Gernyx,https://youtube.com/watch?v=cYzbevgyfJY
am0,1983,be,Belgium,Pas de Deux,Rendez-vous,18.0,,19.0,,18.0,13.0,,,,,,,Walter Verdin,Paul Peyskens;Walter Verdin,https://youtube.com/watch?v=JRfve3wHYUY
am1,1983,tr,Turkey,Çetin Alp and the Short Wave,Opera,19.0,,6.0,,19.0,0.0,,,,,,,Buğra Uğur,Aysel Gürel,https://youtube.com/watch?v=9fGfXAYvGlI
am2,1983,es,Spain,Remedios Amaya,¿Quién Maneja Mi Barca?,19.0,,7.0,,19.0,0.0,,,,,,,José Miguel Evóras,Isidro Muñoz,https://youtube.com/watch?v=B3-0DLbQP2E
am3,1984,se,Sweden,Herrey's,Diggi-loo Diggy-ley,1.0,,1.0,,1.0,145.0,,,,,,,Torgny Söderberg,Britt Lindeborg,https://youtube.com/watch?v=UTFec_mrD-c
am4,1984,ie,Ireland,Linda Martin,Terminal '3',2.0,,9.0,,2.0,137.0,,,,,,,Johnny Logan,,https://youtube.com/watch?v=KqZhLJ6IrNk
am5,1984,es,Spain,Bravo,"Lady, Lady",3.0,,4.0,,3.0,106.0,,,,,,,Miguel Blasco,Amaya Saizar,https://youtube.com/watch?v=ziBsXRsqvZs
am6,1984,dk,Denmark,Hot Eyes,Det' Lige Det,4.0,,10.0,,4.0,101.0,,,,,,,Søren Bundgaard,Keld Heick,https://youtube.com/watch?v=Ba3BtlWEr-k
am7,1984,be,Belgium,Jacques Zegers,Avanti La Vie,5.0,,8.0,,5.0,70.0,,,,,,,Henri Seroka,Jacques Zegers,https://youtube.com/watch?v=apMQRVC8JHg
am8,1984,it,Italy,Alice and Battiato,I Treni Di Tozeur,5.0,,18.0,,5.0,70.0,,,,,,,Franco Battiato,Giusto Pio;Rosario Consentino,https://youtube.com/watch?v=vFLK0WliJcA
am9,1984,gb,United Kingdom,Belle and the Devotions,Love Games,7.0,,6.0,,7.0,63.0,,,,,,,Graham Sacher;Paul Curtis,,https://youtube.com/watch?v=LgeFkRr_98M
ana,1984,fr,France,Annick Thoumazeau,Autant D'amoureux Que D'étoiles,8.0,,3.0,,8.0,61.0,,,,,,,Vladimir Kosma,Charles Level,https://youtube.com/watch?v=4k28wNXmgsU
anb,1984,fi,Finland,Kirka,Hengaillaan,9.0,,16.0,,9.0,46.0,,,,,,,Jukka Siikavire,Jussi Tuominen,https://youtube.com/watch?v=5G_vnjEL9R4
anc,1984,lu,Luxembourg,Sophie Carle,100% D'amour,10.0,,2.0,,10.0,39.0,,,,,,,Jean-Pierre Goussaud,Jean-Michel Beriat;Patrick James,https://youtube.com/watch?v=sEWnCqgmM6I
and,1984,pt,Portugal,Maria Guinot,Silêncio E Tanta Gente,11.0,,19.0,,11.0,38.0,,,,,,,Maria Guinot,,https://youtube.com/watch?v=gXOFCPQkL1o
